date_file,County,Population,PCR_Positive_Tests,PCR_Positive_Percent,PCR_Total_Tests,Beds_Occupied_Total,Beds_Occupied_Percent,Beds_Available_Total,COVID_Total_Admissions,COVID_Susp_Admissions,COVID_Conf_Admissions
2021-02-04,"Miami-Dade County, FL",2716940,2940.445714285714,0.12,171526,744.0930612244898,0.86,6056.571428571428,147.28571428571428,243,788
2021-02-04,"Broward County, FL",1952778,1275.6765714285716,0.124,72014,523.934693877551,0.8,4584.428571428572,120.57142857142857,170,674
2021-02-04,"Palm Beach County, FL",1496770,710.192,0.112,44387,412.81632653061223,0.8,3612.142857142857,75.57142857142857,59,470
2021-02-04,"Duval County, FL",957755,362.22857142857146,0.1,25356,356.64795918367344,0.75,3328.714285714286,63.142857142857146,110,332
2021-02-05,"Miami-Dade County, FL",2716940,2769.0554285714284,0.118,164266,735.6142857142859,0.85,6058.000000000001,143.28571428571428,229,774
2021-02-05,"Broward County, FL",1952778,1204.9871428571428,0.121,69710,516.0957142857143,0.79,4572.999999999999,115.42857142857143,163,645
2021-02-05,"Palm Beach County, FL",1496770,662.0585714285714,0.11,42131,412.73469387755097,0.8,3611.428571428571,73.57142857142857,63,452
2021-02-05,"Duval County, FL",957755,319.84171428571426,0.094,23818,353.8775510204082,0.75,3302.857142857143,60.142857142857146,98,323
2021-02-06,"Miami-Dade County, FL",2716940,2620.3735714285717,0.115,159501,734.8683673469387,0.85,6051.857142857143,139,222,751
2021-02-06,"Broward County, FL",1952778,1158.3157142857142,0.121,67010,515.3540816326531,0.79,4566.428571428572,111.42857142857143,160,620
2021-02-06,"Palm Beach County, FL",1496770,635.9994285714286,0.109,40844,413.2734693877551,0.8,3616.142857142857,71.85714285714286,64,439
2021-02-06,"Duval County, FL",957755,283.45599999999996,0.086,23072,355.7885714285714,0.76,3277,55.857142857142854,89,302
2021-02-07,"Miami-Dade County, FL",2716940,2578.514285714286,0.116,155600,733.9836734693879,0.85,6044.571428571429,136.71428571428572,213,744
2021-02-07,"Broward County, FL",1952778,1131.5314285714285,0.12,66006,514.1448979591836,0.79,4555.714285714285,108.28571428571429,146,612
2021-02-07,"Palm Beach County, FL",1496770,604.9932857142857,0.107,39579,414.2857142857143,0.8,3625,68.85714285714286,58,424
